dataset,model,threshold,n_total,accepted_n,rejected_n,coverage,accuracy_on_accepted,macro_f1_on_accepted_present_labels,operational_recall_correct_accepted_over_all,false_discovery_rate_wrong_among_accepted,false_positive_rate_wrong_accepted_over_all,macro_one_vs_rest_fpr
sherloc_pooled_random_validation,pls_da,0.9,438,84,354,0.1917808219178082,0.9880952380952381,0.6666666666666666,0.18949771689497716,0.011904761904761904,0.00228310502283105,0.00041050903119868636
sherloc_pooled_random_validation,pls_da,0.95,438,59,379,0.13470319634703196,1.0,1.0,0.13470319634703196,0.0,0.0,0.0
sherloc_pooled_random_validation,standard_transformer,0.0,438,438,0,1.0,0.6529680365296804,0.4128383788403581,0.6529680365296804,0.3470319634703196,0.3470319634703196,0.07177357245717952
sherloc_pooled_random_validation,standard_transformer,0.05,438,438,0,1.0,0.6529680365296804,0.4128383788403581,0.6529680365296804,0.3470319634703196,0.3470319634703196,0.07177357245717952
sherloc_pooled_random_validation,standard_transformer,0.1,438,438,0,1.0,0.6529680365296804,0.4128383788403581,0.6529680365296804,0.3470319634703196,0.3470319634703196,0.07177357245717952
sherloc_pooled_random_validation,standard_transformer,0.15,438,438,0,1.0,0.6529680365296804,0.4128383788403581,0.6529680365296804,0.3470319634703196,0.3470319634703196,0.07177357245717952
sherloc_pooled_random_validation,standard_transformer,0.2,438,438,0,1.0,0.6529680365296804,0.4128383788403581,0.6529680365296804,0.3470319634703196,0.3470319634703196,0.07177357245717952
sherloc_pooled_random_validation,standard_transformer,0.25,438,438,0,1.0,0.6529680365296804,0.4128383788403581,0.6529680365296804,0.3470319634703196,0.3470319634703196,0.07177357245717952
sherloc_pooled_random_validation,standard_transformer,0.3,438,437,1,0.997716894977169,0.6544622425629291,0.4139865396665119,0.6529680365296804,0.34553775743707094,0.3447488584474886,0.07138002660908822
sherloc_pooled_random_validation,standard_transformer,0.35,438,380,58,0.867579908675799,0.7078947368421052,0.44593980678191203,0.6141552511415526,0.29210526315789476,0.2534246575342466,0.05589032950565252
sherloc_pooled_random_validation,standard_transformer,0.4,438,330,108,0.7534246575342466,0.7363636363636363,0.4655191943325786,0.5547945205479452,0.2636363636363636,0.19863013698630136,0.04510143774531467
sherloc_pooled_random_validation,standard_transformer,0.45,438,299,139,0.682648401826484,0.7759197324414716,0.4953936375611253,0.5296803652968036,0.22408026755852842,0.15296803652968036,0.036283302170245064
sherloc_pooled_random_validation,standard_transformer,0.5,438,259,179,0.591324200913242,0.8146718146718147,0.4860872644850545,0.4817351598173516,0.18532818532818532,0.1095890410958904,0.027077711513192635
sherloc_pooled_random_validation,standard_transformer,0.55,438,215,223,0.4908675799086758,0.8604651162790697,0.5176616176616177,0.4223744292237443,0.13953488372093023,0.0684931506849315,0.01783516754511371
sherloc_pooled_random_validation,standard_transformer,0.6,438,146,292,0.3333333333333333,0.8904109589041096,0.46204044711507397,0.2968036529680365,0.1095890410958904,0.0365296803652968,0.008818098698584593
