Wave,Anorthite
691.664,1992.82
692.148,1996.49
692.632,1999.46
693.116,1994.79
693.598,1986.03
694.082,1978.69
694.565,1975.63
695.049,1975.1
695.531,1974.44
696.015,1976.87
696.499,1983.92
696.98,1984.23
697.464,1977.31
697.948,1973.16
698.432,1971.32
698.913,1972.16
699.397,1975.08
699.88,1978.06
700.362,1981.89
700.845,1986.16
701.329,1985.1
701.81,1979.91
702.294,1976.88
702.777,1977.58
703.259,1979.29
703.742,1980.43
704.225,1984.75
704.707,1986.52
705.19,1982.2
705.671,1977.84
706.155,1972.15
706.638,1972.72
707.119,1973.17
707.602,1980.87
708.083,1985.44
708.566,1989.19
709.05,1993.81
709.531,1998.48
710.014,1988.89
710.495,1973.08
710.978,1961.11
711.459,1953.34
711.942,1950.73
712.423,1958.82
712.905,1960.91
713.388,1962.32
713.869,1963.85
714.352,1963.53
714.833,1957.92
715.315,1956.97
715.796,1957.04
716.279,1960.54
716.76,1966.52
717.242,1972.83
717.723,1977.6
718.204,1981.11
718.686,1983.54
719.167,1985.23
719.649,1985.74
720.13,1984.14
720.612,1979.58
721.093,1993.39
721.575,2009.01
722.055,2013.34
722.536,2004.29
723.018,1982.14
723.499,1949.02
723.981,1955.29
724.461,1964.18
724.943,1967.27
725.424,1968.68
725.904,1970.15
726.386,1971.6
726.866,1972.05
727.346,1972.26
727.828,1972.4
728.308,1972.33
728.788,1973.62
729.271,1983.26
729.75,1985.98
730.232,1984.7
730.712,1981.39
731.192,1981.68
731.672,1983.96
732.154,1986.79
732.634,1990.03
733.114,1993.85
733.596,1998.63
734.075,2003.64
734.555,2007.88
735.037,2011.33
735.516,2013.54
735.996,2014.91
736.476,2014.14
736.957,2013.23
737.437,2012.11
737.917,2011.93
738.396,2018.76
738.878,2026.3
739.357,2033.08
739.836,2038.13
740.316,2041.09
740.795,2040.92
741.277,2038.69
741.756,2034.85
742.235,2029.19
742.715,2021.77
743.194,2014.31
743.675,2007.84
744.154,2003.54
744.634,1999.65
745.113,1998.6
745.592,1999.25
746.071,2000.2
746.552,2001.23
747.031,2002.36
747.51,2003.17
747.989,2005.42
748.468,1999.58
748.947,1993.3
749.426,1988.47
749.905,1985.13
750.384,1980.29
750.865,1981.01
751.344,1987.77
751.823,1993.77
752.302,2001.14
752.78,2007.18
753.259,2008.86
753.738,2005.03
754.216,1994.71
754.695,2002.43
755.174,2003.89
755.652,2000
756.131,2000
756.61,2000
757.088,2000
757.567,2022.07
758.045,2014.74
758.524,2027.18
759.002,2048.24
759.48,2040.9
759.959,2043.26
760.437,2044.27
760.916,2042.88
761.394,2040.2
761.872,2036.64
762.35,2031.54
762.829,2028.28
763.307,2024.11
763.785,2024.75
764.263,2024.32
764.741,2021.73
765.22,2016.98
765.698,2010.12
766.176,2011.73
766.654,2012.85
767.13,2020.77
767.608,2026.25
768.086,2030.16
768.564,2031.64
769.042,2030.25
769.519,2027.08
769.997,2023.38
770.475,2018.16
770.951,2010.94
771.429,2002.25
771.906,1993.99
772.384,1986.59
772.862,1980.34
773.34,1978.41
773.815,1977.61
774.293,1978.11
774.771,1979.88
775.248,1982.99
775.726,1985.85
776.203,1988.38
776.679,1990.75
777.156,1993.17
777.634,1995.54
778.111,1998.55
778.587,1988.8
779.064,1972.58
779.541,1960.98
780.019,1962.71
780.494,1968.56
780.971,1978.49
781.448,1989.81
781.926,1986.97
782.401,1983.02
782.878,1979.5
783.355,1973.08
783.83,1964.89
784.307,1957.86
784.785,1952.93
785.262,1950.33
785.737,1949.67
786.214,1950.65
786.691,1954.26
787.166,1959.92
787.643,1967.94
788.12,1977.16
788.594,1978.29
789.071,1979.49
789.548,1977.09
790.023,1974
790.5,1972.13
